_id,OBJECTID,AGENCY_NAME,ORGANIZATION_ADDRESS,NEIGHBOURHOOD,OFFICE_PHONE,EMAIL,WEBSITE,ELIGIBILITY,DESCRIPTION_SERVICE,APPLICATION,LANGUAGES,ACCESSIBILITY,HOURS,LEGAL_STATUS,DATE_UPDATED,ADDRESS_POINT_ID,X,Y,LONGITUDE,LATITUDE,ADDRESS_FULL,MUNICIPALITY,POSTAL_CODE,geometry
1,505,Community Centre 55,"97 Main St, Toronto, ON     M4E 2V6","East End-Danforth, 62",416-691-1113,,"<a href=""http://www.centre55.com"" target=""_blank"">www.centre55.com</a>",Open to all,"Community centre * community development * before lunch and after school program * nursery school * summer camp * recreation programs for children * seniors clubs * income tax clinic by appointment * information and referral * Christmas food and toy distribution program * graffiti removal service * community forums and debates * volunteer opportunities * space for group meetings * Housing Connections (see separate entry) Community Partner -- assistance with housing search and application process <br> <br> 

Services provided by other agencies include -- Al-Anon Family Groups, Alcoholics Anonymous, Cocaine Anonymous, Pegasus Community Project for Adults with Special Needs","Call, drop in or visit the website",English,Designated parking at entrance ; Barrier-free washroom including door and stall ; Wheelchair accessible ground floor at side entrance,"Mon-Thu 7:30 am-9 pm, Fri 7:30 am-6 pm, Sat 10 am-1 pm, Sun 11 am-3 pm",(50) Non Profit ; (51) Registered Charity,2015-11-12T05:00:00,836457,,,,,97 Main St,former Toronto,M4E 2V6,"{u'type': u'Point', u'coordinates': (-79.2991308448, 43.6820931399)}"
2,745,519 Community Centre,"519 Church St, Toronto, ON     M4Y 2C9","Church-Yonge Corridor, 75",416-392-6874,info@The519.org,"<a href=""http://www.The519.org"" target=""_blank"">www.The519.org</a>",Open to all,"Multiservice centre offering social and recreation programs and group meetings for all ages * meeting place of choice for Lesbian, Gay, Bisexual, Trans, Queer (LGBTQ) communities <br><br>

<b>Community meals for LGBTTQ communities </b> -- Sun 10 am-2 pm <br><br>

<b>Community Support</b> -- Community Counselling  provides access to professionally trained and supervised volunteer counsellors * by appointment 416-392-4878 ext 4000 * Alcoholics Anonymous Sunday Group * Crystal Meth Anonymous * Sex and Love Addicts Anonymous (SLA) * <b>Wills clinics</b>  legal services to draft wills, power of attorney and reported letters for Pro Bono lawyers * by appointment call 416-392-6878 ext 4001 * income tax clinic (March-April) <br><br>

<b>Community-led -- Hassle Free Clinic</b>  provides free medical and counselling services in many areas of sexual health * anonymous HIV testing * Tuesday 5 pm-10 pm and 1st and 3rd Sunday of each month 1 pm-5 pm (except holidays) <br><br>

<b>Education and Training</b> -- customized training to help organizations create a LGBTQ inclusive environment <br><br>

<b>Family and Children Programs</b> -- family support programming and resources for families of diverse identities and structures * <b>Family Resource Centre</b> -- program for children birth-6 years and their parents or caregivers (part of Growing Up Healthy Downtown, see separate entry) * <b>Queer Parenting Programs</b> -- educational, community-building, and family resource programs for LGBTTQ parents, prospective parents, their children and extended families * Dykes Planning Tykes * Daddies & Papas 2B * Mums the World * Daddy, Papa and Me <br><br>

<b>New to Canada -- One-On-One Settlement Coordination</b>  help with immigration forms about hearing, housing, employment, education * by appointment * weekly program designed for Convention Refugees and Permanent Residents * sessions explore issues related to settlement in Canada <br><br>

<b>Older LGBTTQ Programs</b> -- drop-in Mondays 1-4 pm, information, referrals, book clubs, service provides training and arts based programs for people 50 years and older * Older LGBT Resource Centre <br><br>

<b>Trans-Specific -- Meal Trans</b> -- drop-in program serving meals to lower income, street-active, homeless and sex-working trans women, trans men, genderqueer, and questioning people in a trans-only space * Trans Men FTM Support Group * transition support <br><br>

<b>Youth programs -- for newcomer youth</b> 14-19 years who are Permanent Residents or Convention Refugees, residing in Canada for less than five years * <b>Youth Engagement program</b> -- focus on English practice and skills building * workshops * <b>Youth Mentorship</b> -- monthly program delivered by peer mentors * hands-on activities which explore issues that matter to youth <br><br>

Local lead agency for Ontario Early Years Centres","Call, drop in or visit the website",English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Easy access to elevator - with braille ; Dedicated accessible washroom with all features,"Mon-Sat 9 am-10 pm, Sun 9 am-5 pm",(50) Non Profit ; (51) Registered Charity,2016-02-22T05:00:00,7731584,,,,,519 Church St,former Toronto,M4Y 2C9,"{u'type': u'Point', u'coordinates': (-79.3809426167, 43.666551959)}"
3,747,Applegrove Community Complex,"Inside Duke of Connaught Public School, 60 Woodfield Rd, Toronto, ON     M4L 2W6","Greenwood-Coxwell, 65",416-461-8143,applegrove@applegrovecc.ca,"<a href=""http://www.ApplegroveCC.ca"" target=""_blank"">www.ApplegroveCC.ca</a>",Open to all,"Community centre * <b>children's programs</b> -- after school and evening activities for children and youth * therapeutic play group for children 3-5 years * satellite agency for Ontario Early Years Centres (OEYC Toronto Beaches-East York) * 2 family resource centres * perinatal nutrition and support * children's summer day camp <br><br>

Program also available at Toronto Formosan Presbyterian Church, 31 Eastwood Rd, just east of Coxwell Av Tue-Wed 9:30 am-1 pm <br><br>

Seniors program * income tax clinic (seasonal) * referrals to other agencies * opportunity for community development","Call, drop in or visit the website",English ; Chinese (Cantonese) ; Chinese (Mandarin),Wheelchair accessible automatic main entrance - main door only ; Easy access to elevator - operated by key -- assistance required ; Barrier-free washroom including door and stall ; Enter through Woodfield entrance of Duke of Connaught Public School beside,Mon-Fri 9 am-6 pm * some evening programs,(50) Non Profit ; (51) Registered Charity,2015-09-16T04:00:00,6362824,,,,,60 Woodfield Rd,former Toronto,M4L 2W6,"{u'type': u'Point', u'coordinates': (-79.3219989285, 43.666287415)}"
4,748,Arab Community Centre of Toronto,"555 Burnhamthorpe Rd, Ste 209, Toronto, ON     M9C 2Y3","Etobicoke West Mall, 13",416-231-7746,Info@arabnewcomers.org,"<a href=""http://www.arabcommunitycentre.com"" target=""_blank"">www.arabcommunitycentre.com</a>",Open to everyone,"<b>Settlement Services</b> (formerly Immigrant Settlement and Adaptation Program) and Newcomer Settlement Program -- information and referral * housing and legal assistance * translation and interpretation * escort * counselling for students, individuals and families, liaising with Children's Aid Society * youth counselling and parenting sessions * orientation * settlement * refugee services -- referral and assistance with shelter, attendance at inquiry, employment, social, welfare and legal services * social and cultural activities * Ontario Community Participation -- volunteer placement program for Ontario Works recipients * also offered at 1 Resurrection Rd, 416-533-3292 ; 898 Markham Rd, 416-439-0767<br> <br> 

<b>Youth Services</b> -- settlement program encouraging civic participation and integration through a focus on recreation, sport, and mentorship<br> <br>

<b>Employment Services</b> -- Job Search Workshops (JSW) for new immigrants, Convention refugees or Live-in Caregivers, legally entitled to work in Canada * 3 or 4 day job search techniques workshops, including assessment with a job coach, individual action plan, labour market information, life skills and preemployment workshops with resume preparation, networking * extensive individual assistance<br> <br>

<b>Problem Gambling Program</b> -- culturally appropriate prevention, education and treatment * outreach and public education to community groups * individual or group counselling for gamblers or those affected<br> <br>

<b>Domestic Violence Education Program</b> -- counselling and referral for victims of family violence",Drop in or call for appointment,English ; French ; Arabic ; Armenian ; Assyrian ; Dari ; Dutch ; Farsi ; Hindi ; Lithuanian ; Pashto ; Punjabi ; Russian ; Urdu,Wheelchair accessible building including main entrance and barrier free washrooms * designated parking,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-09-11T04:00:00,991045,,,,,555 Burnhamthorpe Rd,Etobicoke,M9C 2Y3,"{u'type': u'Point', u'coordinates': (-79.5680233623, 43.6446436058)}"
5,749,BBYO Ontario,"Prosserman Jewish Community Centre, 4588 Bathurst St, Unit 1-22, Toronto, ON     M2R 1W6","Westminster-Branson, 35",416-398-2004,info@bbyo.ca,"<a href=""http://www.bbyo.ca"" target=""_blank"">www.bbyo.ca</a>",Jewish students in grades 6-12,"Social, athletic, cultural and religious activities * summer leadership camp * youth plan their own programs with adult advisors developing leadership, public speaking and community organizing skills * Jewish environment",,English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Barrier-free washroom including door and stall,Office -- Mon-Thu 10 am-5 pm * program hours vary,(50) Non Profit,2015-04-28T04:00:00,487320,,,,,4588 Bathurst St,North York,M2R 1W6,"{u'type': u'Point', u'coordinates': (-79.4416656175, 43.7628232394)}"
6,750,Braeburn Neighbourhood Place,"75 Tandridge Cres, Unit 108, Toronto, ON     M9W 2N9","Elms-Old Rexdale, 5",416-745-3113,sadore@braeburn.net,"<a href=""http://"" target=""_blank""></a>",All ages,"Social, recreation, education and health programs * parent and child programs * parenting resource library * toy library * community garden * Braeburn Boys and Girls Club -- includes homework club <br><br>

 <b>Children</b> -- children's breakfast club * nutritious snack program * after school recreation programs * day camp * licensed child care <br> <br>

<b>Youth</b> -- arts and crafts * gym and movie nights * workshops and seminars * leadership development program <br><br> 

Local lead agency for Ontario Early Years Centres","Call, varies by program",English,Designated parking at entrance ; Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall ; Call ahead for more details,Office -- Mon-Fri 9:30 am-2 pm * program hours vary,(50) Non Profit ; (51) Registered Charity,2016-01-19T05:00:00,13496246,,,,,75 Tandridge Cres,Etobicoke,M9W 2N9,"{u'type': u'Point', u'coordinates': (-79.5467220934, 43.7288812679)}"
7,751,Cabbagetown Youth Centre,"2 Lancaster Ave, Toronto, ON     M4X 1C1","Cabbagetown-South St James Town, 71",416-960-1032,admin@cabbagetownyouth.ca,"<a href=""http://www.cabbagetownyouth.ca"" target=""_blank"">www.cabbagetownyouth.ca</a>",Varies by program,"Recreation, exercise, fitness and sports * after school program * summer day camp * performing arts program including dance, vocal music, drama<br><br>

Some programs offered at 650 Parliament St and 280 Wellesley St E",Call or drop in * registration forms on website,English,Wheelchair accessible building including main entrance and barrier free washrooms,Vary -- call for details,(50) Non Profit ; (51) Registered Charity,2014-05-21T04:00:00,7683920,,,,,2 Lancaster Ave,former Toronto,M4X 1C1,"{u'type': u'Point', u'coordinates': (-79.3695359863, 43.6665332809)}"
8,752,Canadian Diabetes Association,"522 University Ave, Ste 1400, Toronto, ON     M5G 2R5","Kensington-Chinatown, 78",416-363-3373,info@diabetes.ca,"<a href=""http://www.diabetes.ca"" target=""_blank"">www.diabetes.ca</a>",,"Information and literature on nutrition and health care * support groups, education, advocacy * library, including videos * pamphlets in Chinese, French, Italian * Etobicoke, North/Central Toronto, Scarborough, Aboriginal, Caribbean, Chinese, Filipino, Jewish and Polish chapters<br><br>

<b>Clothesline Collection Program</b> 1-800-505-5525 -- pick-up service for donations of reusable clothing, household items, cell phones and personal digital assistants * visit diabetes.ca/dropbox to find a location<br><br>

<b><a href="" http://www.dcamps.ca"" target=""_blank"">Summer D-Camps</a></b> -- information on summer day camps and D-Tour youth retreat program for children with type 1 diabetes, 8-15 years",,English ; French,Wheelchair accessible automatic main entrance - ramp from sidewalk ; Barrier-free washroom including door and stall,Mon-Fri 9 am-5 pm,(50) Non Profit ; (51) Registered Charity,2015-09-10T04:00:00,2854062,,,,,522 University Ave,former Toronto,M5G 1W7,"{u'type': u'Point', u'coordinates': (-79.3893801204, 43.6559184352)}"
9,753,Cecil Community Centre,"58 Cecil St, Toronto, ON     M5T 1N6","Kensington-Chinatown, 78",416-392-1090,info@cecilcommunitycentre.ca,"<a href=""http://www.cecilcommunitycentre.ca"" target=""_blank"">www.cecilcommunitycentre.ca</a>",No restriction,"Community centre * cultural, social, recreation and education activities * community drop-in * Ontario Early Years Centre (OEYC Toronto Trinity-Spadina) * homework club for children 6-12 years * school readiness program * youth after school program * toy library for children under 6 years * children and women's clothing project * English as a Second Language (ESL) and ESL tutoring * Sunday children's program * seniors fitness and dance classes * community library * meeting, auditorium and program space for community groups * many additional programs and classes * volunteer opportunities<br><br> 

Services provided by other agencies -- Metro Toronto Chinese Golden Age Society * Toronto District School Board * Common Thread Community Chorus * Friendship in Action","Call, drop in or visit the website","English ; Chinese (Cantonese) - Saturday-Sunday ; Chinese (Mandarin) - Monday-Friday 1 pm-5 pm, Saturday-Sunday",Wheelchair accessible automatic main entrance ; Barrier-free washroom including door and stall,"Mon-Fri 9 am-10 pm, Sat-Sun 10 am-5 pm",(50) Non Profit,2015-12-02T05:00:00,9947797,,,,,58 Cecil St,former Toronto,M5T 1N6,"{u'type': u'Point', u'coordinates': (-79.3985912013, 43.6564590564)}"
10,754,Central Neighbourhood House,"349 Ontario St, Toronto, ON     M5A 2V8","Moss Park, 73",416-925-4363,central@cnh.on.ca,"<a href=""http://www.cnh.on.ca"" target=""_blank"">www.cnh.on.ca</a>",Varies by program,"Multiservice neighbourhood centre<br><br> 

Counselling, information and referral services * seasonal income tax clinic * licensed child care * volunteer tutors for children and youth * family support program -- counselling on family issues * voluntary trusteeship program  * free Internet access * <b>children's programs</b> -- social and recreation activities, after school program, summer day camp * Kidz Klub * <b>youth programs</b> -- social, recreation, arts and education activities * <b>Boyz 2 Men</b> -- dance club * weekend activities * <b>women's program</b> -- weekly group program including life skills, information and support in several languages * East African Women's Circle, violence prevention program * <b>parenting programs</b> for women, free child care usually available for participants<br><br>

<b>Metro Voice Mail Project</b>, call 416-925-4363 ext 103 -- Monday, Wednesday 12:30 pm-3:30 pm * persons without telephones receive voice mail number to retrieve messages from any touch-tone phone * $10 for 3 months<br><br>

<b>Stroke Survivors Day Program</b> -- Monday-Wednesday, Friday 10 am-3:30 pm * for stroke survivors and caregivers * social and recreation activities, lunch * small daily fee","Call, drop in or visit the website",English ; other languages may be available,Wheelchair accessible automatic main entrance ; Elevator with braille and voice/tone features ; Dedicated accessible washroom with all features,Mon-Fri 7:30 am-9 pm,(50) Non Profit ; (51) Registered Charity,2015-11-27T05:00:00,8566354,,,,,349 Ontario St,former Toronto,M5A 2V8,"{u'type': u'Point', u'coordinates': (-79.368876056, 43.6605216204)}"
